Category,Sub-Technique,Description,GIF URL,GIF Filename,Creator,Source URL,Page URL
"slow-motion","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/04/Riot__Set_it_off_Official_Music_Video_W7MeQsH/6dd3a82323758d083022caf1e982363a.gif,6dd3a82323758d083022caf1e982363a.gif,"",,https://eyecannndy.com/technique/slow-motion
"slow-motion","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/27/Rendered_-_61a76f43-b0f0-4a7b-9265-09ddffc8e9a5/1b374b44394ac79ec06bbe2bdfe06ace.gif,1b374b44394ac79ec06bbe2bdfe06ace.gif,"",,https://eyecannndy.com/technique/slow-motion
"slow-motion","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/31/A_Feel_For_Every_You___Nike_rqT5ocl/304f68c8c3c2aaaa71afbdf520290f82.gif,304f68c8c3c2aaaa71afbdf520290f82.gif,"",,https://eyecannndy.com/technique/slow-motion
"slow-motion","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/27/Rendered_-_61a76f43-b0f0-4a7b-9265-09ddffc8e9a5_mOl8f7F/8727dfd4dac240e566e1c3b6c5429a96.gif,8727dfd4dac240e566e1c3b6c5429a96.gif,"",,https://eyecannndy.com/technique/slow-motion
"slow-motion","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/29/Mula_B_-_Blokke_Gepikt_DC_1080_AxlQWIu/b9a192895734d04a2afca0c7cf68e12c.gif,b9a192895734d04a2afca0c7cf68e12c.gif,"",,https://eyecannndy.com/technique/slow-motion
"slow-motion","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/02/04/tumblr_b0b9b62f0632d592f6a36fdd0dfe3001_a8388729_540/51637fd9ce5173967367c785a810aa56.gif,51637fd9ce5173967367c785a810aa56.gif,"",,https://eyecannndy.com/technique/slow-motion
"slow-motion","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/09/468235896efae888b93c8e1c65ed3ad6/b1ffff2df623bf98a2f3b972d80eddc6.gif,b1ffff2df623bf98a2f3b972d80eddc6.gif,"",,https://eyecannndy.com/technique/slow-motion
"slow-motion","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/09/726a85579d13f0069cd13a91f05b0b0b/a46255ed089a1eb3c074c0f9e3fed625.gif,a46255ed089a1eb3c074c0f9e3fed625.gif,"",,https://eyecannndy.com/technique/slow-motion
"slow-motion","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/05/21/tumblr_b05bc5156b18df8265bc2cada693edb0_80f3b185_540/695e41abfdd2dbd21e2f2a9bc69e2f3a.gif,695e41abfdd2dbd21e2f2a9bc69e2f3a.gif,"",,https://eyecannndy.com/technique/slow-motion
"slow-motion","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/09/dd19d3718bc81d2539d0cc70c27a5cde_1/66bf81d6470a541c118906b1461b498e.gif,66bf81d6470a541c118906b1461b498e.gif,"",,https://eyecannndy.com/technique/slow-motion
"slow-motion","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/05/21/tumblr_51bb73e1efcfd194926e030e03c16db5_d37b4882_540/f8d3051a3355b292d8d7a528d236953a.gif,f8d3051a3355b292d8d7a528d236953a.gif,"",,https://eyecannndy.com/technique/slow-motion
"slow-motion","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/31/A_Feel_For_Every_You___Nike_w14WSO1/3f72239bff0597fcd9b51a1914604df4.gif,3f72239bff0597fcd9b51a1914604df4.gif,"",,https://eyecannndy.com/technique/slow-motion
"slow-motion","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/01/29/Mula_B_-_Blokke_Gepikt_DC_1080_fbBDvvc/702680e58e733c776dc812e9921d6e81.gif,702680e58e733c776dc812e9921d6e81.gif,"",,https://eyecannndy.com/technique/slow-motion
"slow-motion","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/05/21/tumblr_8e8fdc0c116d4c0ce3208f1619006554_0c890d8a_540/b45244fefe7b554cda45753414723461.gif,b45244fefe7b554cda45753414723461.gif,"",,https://eyecannndy.com/technique/slow-motion
"slow-motion","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/05/21/tumblr_48961d3a638e1429fec8b5ca9434b458_eacb580f_540/9f323d70254c0ea395e32a08195e3930.gif,9f323d70254c0ea395e32a08195e3930.gif,"",,https://eyecannndy.com/technique/slow-motion
"slow-motion","","",https://asset.eyecannndy.com/media/CACHE/images/clip/2024/03/09/8mMUM2/66027736fc9b323fea012d498f786596.gif,66027736fc9b323fea012d498f786596.gif,"",,https://eyecannndy.com/technique/slow-motion
